Format Version,1.23,Take Name,Take 2026-01-12 01.56.14 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-12 01.56.15.167 ,Total Frames in Take,360,Total Exported Frames,360,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001
,ID,"C3510","C3510","C3510","C3520","C3520","C3520"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
134,1.116667,0.691982,0.239532,1.928483,0.316386,-0.137506,1.548569
135,1.125000,0.692169,0.234145,1.927421,0.316373,-0.137492,1.548461
136,1.133333,0.692984,0.229161,1.926515,0.316411,-0.137517,1.548661
137,1.141667,0.694119,0.224503,1.924598,0.316386,-0.137486,1.548520
138,1.150000,0.695996,0.220042,1.922497,0.316411,-0.137516,1.548636
139,1.158333,0.698763,0.215751,1.920268,0.316410,-0.137508,1.548647
140,1.166667,0.702349,0.211587,1.917865,0.316398,-0.137506,1.548589
141,1.175000,0.706570,0.207451,1.914912,0.316408,-0.137516,1.548638
142,1.183333,0.711593,0.203358,1.911777,0.316421,-0.137515,1.548675
143,1.191667,0.717310,0.199499,1.908603,0.316419,-0.137529,1.548665
144,1.200000,0.723538,0.195954,1.905292,0.316385,-0.137505,1.548532
145,1.208333,0.730319,0.192899,1.902426,0.316416,-0.137525,1.548643
146,1.216667,0.736883,0.190322,1.898543,0.316413,-0.137511,1.548630
147,1.225000,0.744273,0.188447,1.896069,0.316396,-0.137478,1.548512
148,1.233333,0.751297,0.187042,1.892496,0.316426,-0.137516,1.548664
149,1.241667,0.758805,0.186220,1.889856,0.316420,-0.137516,1.548640
150,1.250000,0.766500,0.185807,1.887071,0.316390,-0.137510,1.548551
151,1.258333,0.774465,0.185822,1.884457,0.316406,-0.137492,1.548518
152,1.266667,0.782805,0.186236,1.882192,0.316400,-0.137507,1.548572
153,1.275000,0.791420,0.187172,1.879648,0.316414,-0.137515,1.548617
154,1.283333,0.800742,0.188938,1.877954,0.316409,-0.137498,1.548564
155,1.291667,0.810250,0.191365,1.876022,0.316416,-0.137513,1.548654
156,1.300000,0.819915,0.194570,1.874093,0.316386,-0.137508,1.548558
157,1.308333,0.830143,0.198781,1.873038,0.316405,-0.137519,1.548613
158,1.316667,0.839901,0.203813,1.870962,0.316402,-0.137513,1.548599
159,1.325000,0.849991,0.209818,1.869993,0.316407,-0.137493,1.548558
160,1.333333,0.860037,0.216713,1.869812,0.316408,-0.137513,1.548597
161,1.341667,0.869652,0.224144,1.870606,0.316408,-0.137491,1.548555
162,1.350000,0.877974,0.231914,1.870829,0.316399,-0.137491,1.548517
163,1.358333,0.885836,0.240027,1.873100,0.316414,-0.137508,1.548648
164,1.366667,0.891505,0.248204,1.874085,0.316408,-0.137512,1.548626
165,1.375000,0.895463,0.256603,1.874928,0.316401,-0.137491,1.548524
166,1.383333,0.898094,0.265417,1.876813,0.316412,-0.137519,1.548638
167,1.391667,0.898339,0.274307,1.877494,0.316410,-0.137510,1.548665
168,1.400000,0.897088,0.283118,1.878410,0.316398,-0.137491,1.548555
169,1.408333,0.894277,0.291539,1.878901,0.316379,-0.137505,1.548547
170,1.416667,0.890861,0.299748,1.880723,0.316385,-0.137513,1.548598
