Time(s),Error
1.418,-2.04232
1.419,-2.02914
1.42,-2.00467
1.421,-1.97014
1.422,-1.97014
1.423,-1.89952
1.424,-1.83802
1.425,-1.83802
1.426,-1.76019
1.427,-1.65003
1.428,-1.53894
1.429,-1.41591
1.43,-1.27907
1.431,-1.27907
1.432,-1.11619
1.433,-0.955509
1.434,-0.779446
1.435,-0.599934
1.436,-0.599934
1.437,-0.390285
1.438,-0.170918
1.439,0.0368385
1.44,0.234249
1.441,0.43259
1.442,0.43259
1.443,0.63847
1.444,0.818607
1.445,0.976162
1.446,1.12209
1.447,1.23601
1.448,1.23601
1.449,1.38697
1.45,1.38697
1.451,1.47955
1.452,1.56805
1.453,1.65624
1.454,1.72968
1.455,1.7802
1.456,1.81128
1.457,1.81128
1.458,1.82351
1.459,1.8163
1.46,1.79307
1.461,1.75573
1.462,1.75573
1.463,1.70614
1.464,1.64118
1.465,1.57026
1.466,1.48771
1.467,1.39325
1.468,1.28403
1.469,1.28403
1.47,1.15504
1.471,1.02009
1.472,0.856899
1.473,0.703114
1.474,0.703114
1.475,0.52486
1.476,0.299213
1.477,0.0970955
1.478,-0.10815
1.479,-0.310261
1.48,-0.310261
1.481,-0.509235
1.482,-0.716053
1.483,-0.893055
1.484,-1.05405
1.485,-1.19214
1.486,-1.19214
1.487,-1.31956
1.488,-1.44855
1.489,-1.5653
1.49,-1.67482
1.491,-1.7762
1.492,-1.7762
1.493,-1.86155
1.494,-1.93091
1.495,-1.9736
1.496,-1.99556
1.497,-1.99996
1.498,-1.99996
1.499,-1.98709
1.5,-1.9645
1.501,-1.93155
1.502,-1.89043
1.503,-1.89043
1.504,-1.83739
1.505,-1.76113
1.506,-1.67859
1.507,-1.58036
1.508,-1.45765
1.509,-1.45765
1.51,-1.33055
1.511,-1.18618
1.512,-1.02643
1.513,-0.862301
1.514,-0.688122
1.515,-0.688122
1.516,-0.501698
1.517,-0.292057
1.518,-0.0751991
1.519,0.124401
1.52,0.124401
1.521,0.32526
1.522,0.608967
1.523,0.788799
1.524,0.788799
1.525,0.949162
1.526,1.11267
1.527,1.23037
1.528,1.23037
1.529,1.38226
1.53,1.4739
1.531,1.56083
1.532,1.56083
1.533,1.64023
1.534,1.73909
1.535,1.73909
1.536,1.78711
1.537,1.81347
1.538,1.81849
1.539,1.80626
1.54,1.77864
1.541,1.73658
1.542,1.73658
1.543,1.67821
1.544,1.61356
1.545,1.53572
1.546,1.44942
1.547,1.44942
1.548,1.34931
1.549,1.22315
1.55,1.09668
1.551,0.955753
1.552,0.797901
1.553,0.608654
1.554,0.608654
1.555,0.414387
1.556,0.216991
1.557,0.0170708
1.558,-0.201984
1.559,-0.201984
1.56,-0.400021
1.561,-0.61092
1.562,-0.787922
1.563,-0.952999
1.564,-1.10238
1.565,-1.23514
1.566,-1.23514
1.567,-1.3657
1.568,-1.48024
1.569,-1.5904
1.57,-1.69271
1.571,-1.69271
1.572,-1.78435
1.573,-1.86155
1.574,-1.91208
1.575,-1.94221
1.576,-1.94221
1.577,-1.95414
1.578,-1.95226
1.579,-1.93563
1.58,-1.90989
1.581,-1.8738
1.582,-1.82547
1.583,-1.82547
1.584,-1.7649
1.585,-1.68235
1.586,-1.59197
1.587,-1.59197
1.588,-1.42061
1.589,-1.2954
1.59,-1.15448
1.591,-1.15448
1.592,-1.00604
1.593,-0.828091
1.594,-0.654537
1.595,-0.467808
1.596,-0.274799
1.597,-0.274799
1.598,-0.0573082
1.599,0.159557
1.6,0.35664
1.601,0.540546
1.602,0.71912
1.603,0.71912
1.604,0.897388
1.605,1.04081
1.606,1.16508
1.607,1.27713
1.608,1.37316
1.609,1.37316
1.61,1.46228
1.611,1.55424
1.612,1.62799
1.613,1.62799
1.614,1.71682
1.615,1.75259
1.616,1.77142
1.617,1.77142
1.618,1.7686
1.619,1.73313
1.62,1.69328
1.621,1.69328
1.622,1.64023
1.623,1.57151
1.624,1.49588
1.625,1.40862
1.626,1.30914
1.627,1.30914
1.628,1.1949
1.629,1.06058
1.63,0.919033
1.631,0.919033
1.632,0.676754
1.633,0.48061
1.634,0.286343
1.635,0.0782738
1.636,0.0782738
1.637,-0.228664
1.638,-0.434231
1.639,-0.434231
1.64,-0.622532
1.641,-0.818676
1.642,-0.98344
1.643,-1.12874
1.644,-1.25585
1.645,-1.25585
1.646,-1.37479
1.647,-1.49971
1.648,-1.61112
1.649,-1.71624
1.65,-1.80444
1.651,-1.80444
1.652,-1.87944
1.653,-1.92965
1.654,-1.95351
1.655,-1.96229
1.656,-1.96229
1.657,-1.95728
1.658,-1.92965
1.659,-1.92965
1.66,-1.89891
1.661,-1.83237
1.662,-1.76521
1.663,-1.76521
1.664,-1.68801
1.665,-1.58726
1.666,-1.48275
1.667,-1.36287
1.668,-1.36287
1.669,-1.23043
1.67,-1.06661
1.671,-0.913769
1.672,-0.729229
1.673,-0.548771
1.674,-0.357334
1.675,-0.357334
1.676,-0.142361
1.677,0.0572472
1.678,0.25182
1.679,0.454556
1.68,0.454556
1.681,0.619953
1.682,0.799778
1.683,0.960468
1.684,1.08568
1.685,1.08568
1.686,1.19459
1.687,1.34398
1.688,1.42463
1.689,1.42463
1.69,1.51125
1.691,1.58814
1.692,1.64431
1.693,1.64431
1.694,1.69547
1.695,1.70457
1.696,1.70457
1.697,1.68386
1.698,1.64777
1.699,1.60666
1.7,1.60666
1.701,1.47798
1.702,1.47798
1.703,1.39136
1.704,1.2969
1.705,1.07376
1.706,1.07376
1.707,0.941631
1.708,0.941631
1.709,0.780323
1.71,0.61179
1.711,0.61179
1.712,0.341579
1.713,0.141979
1.714,-0.0544853
1.715,-0.0544853
1.716,-0.254398
1.717,-0.450855
1.718,-0.65736
1.719,-0.833431
1.72,-1.15793
1.721,-1.15793
1.722,-1.15793
1.723,-1.34938
1.724,-1.46518
1.725,-1.46518
1.726,-1.57627
1.727,-1.68235
1.728,-1.78215
1.729,-1.85904
1.73,-1.91648
1.731,-1.91648
1.732,-1.95351
1.733,-1.97234
1.734,-1.9736
1.735,-1.9736
1.736,-1.95226
1.737,-1.92307
1.738,-1.88541
1.739,-1.88541
1.74,-1.83614
1.741,-1.73759
1.742,-1.73759
1.743,-1.65348
1.744,-1.55745
1.745,-1.43662
1.746,-1.30073
1.747,-1.30073
1.748,-1.08669
1.749,-0.928516
1.75,-0.757168
1.751,-0.757168
1.752,-0.578899
1.753,-0.369572
1.754,-0.157108
1.755,0.0440636
1.756,0.242405
1.757,0.437923
1.758,0.437923
1.759,0.640034
1.76,0.813274
1.761,0.968624
1.762,1.09478
1.763,1.09478
1.764,1.21279
1.765,1.31762
1.766,1.40956
1.767,1.40956
1.768,1.53354
1.769,1.60948
1.77,1.66942
1.771,1.7165
1.772,1.7165
1.773,1.74505
1.774,1.74254
1.775,1.74254
1.776,1.72372
1.777,1.687
1.778,1.63993
1.779,1.58092
1.78,1.58092
1.781,1.51
1.782,1.42746
1.783,1.32452
1.784,1.21656
1.785,1.09636
1.786,0.95042
1.787,0.95042
1.788,0.81139
1.789,0.632191
1.79,0.450794
1.791,0.241146
1.792,0.241146
1.793,0.0359001
1.794,-0.154598
1.795,-0.368954
1.796,-0.577335
1.797,-0.850056
1.798,-0.850056
1.799,-1.01482
1.8,-1.16076
1.801,-1.29226
1.802,-1.29226
1.803,-1.40775
1.804,-1.53045
1.805,-1.63874
1.806,-1.63874
1.807,-1.7853
1.808,-1.86909
1.809,-1.92212
1.81,-1.92212
1.811,-1.95916
1.812,-1.97862
1.813,-1.97924
1.814,-1.96637
1.815,-1.94441
1.816,-1.91303
1.817,-1.91303
1.818,-1.86532
1.819,-1.80946
1.82,-1.73634
1.821,-1.6516
1.822,-1.6516
1.823,-1.54301
1.824,-1.4181
1.825,-1.14852
1.826,-1.14852
1.827,-0.99474
1.828,-0.99474
1.829,-0.815228
1.83,-0.636654
1.831,-0.451176
1.832,-0.238392
1.833,-0.0356483
1.834,-0.0356483
1.835,0.1674
1.836,0.382687
1.837,0.571621
1.838,0.749249
1.839,0.923748
1.84,0.923748
1.841,1.06936
1.842,1.19145
1.843,1.29533
1.844,1.39136
1.845,1.39136
1.846,1.48237
1.847,1.57276
1.848,1.64777
1.849,1.71305
1.85,1.71305
1.851,1.75541
1.852,1.77769
1.853,1.78177
1.854,1.76546
1.855,1.7347
1.856,1.69233
1.857,1.69233
1.858,1.63961
1.859,1.569
1.86,1.49116
1.861,1.40015
1.862,1.29847
1.863,1.29847
1.864,1.18298
1.865,1.04363
1.866,0.899899
1.867,0.737644
1.868,0.566288
1.869,0.566288
1.87,0.377987
1.871,0.145741
1.872,-0.0409889
1.873,-0.0409889
1.874,-0.35545
1.875,-0.536541
1.876,-0.737392
1.877,-0.737392
1.878,-0.912823
1.879,-1.07163
1.88,-1.22321
1.881,-1.34592
1.882,-1.34592
1.883,-1.51979
1.884,-1.62806
1.885,-1.73037
1.886,-1.82013
1.887,-1.82013
1.888,-1.91867
1.889,-1.96104
1.89,-1.96104
1.891,-1.98019
1.892,-1.98301
1.893,-1.97014
1.894,-1.94818
1.895,-1.91711
1.896,-1.91711
1.897,-1.87442
1.898,-1.81479
1.899,-1.74386
1.9,-1.60202
1.901,-1.49469
1.902,-1.37323
1.903,-1.37323
1.904,-1.23859
1.905,-1.07979
1.906,-0.921307
1.907,-0.736454
1.908,-0.553173
1.909,-0.365185
1.91,-0.365185
1.911,-0.156796
1.912,0.0321388
1.913,0.213848
1.914,0.393047
1.915,0.393047
1.916,0.556553
1.917,0.731991
1.918,0.86224
1.919,0.97678
1.92,1.07251
1.921,1.07251
1.922,1.20275
1.923,1.27964
1.924,1.27964
1.925,1.38352
1.926,1.43592
1.927,1.43592
1.928,1.46575
1.929,1.47735
1.93,1.47108
1.931,1.47108
1.932,1.43373
1.933,1.3901
1.934,1.33581
1.935,1.26269
1.936,1.26269
1.937,1.18361
1.938,1.09165
1.939,0.988712
1.94,0.988712
1.941,0.726345
1.942,0.726345
1.943,0.498806
1.944,0.332478
1.945,0.332478
1.946,0.159863
1.947,-0.0278053
1.948,-0.197277
1.949,-0.362041
1.95,-0.362041
1.951,-0.520214
1.952,-0.520214
1.953,-0.668346
1.954,-0.809261
1.955,-0.925068
1.956,-1.03617
1.957,-1.03617
1.958,-1.13157
1.959,-1.30198
1.96,-1.37636
1.961,-1.42878
1.962,-1.46299
1.963,-1.46299
1.964,-1.47742
1.965,-1.47115
